umbral;archivo;tipo;iou_mejor
0.3;H017_6319_cross_speaker.wav;cross_speaker;0.1697
0.3;H017_6319_cross_speaker_ruido.wav;cross_speaker_ruido;0.3502
0.3;H017_6319_same_speaker.wav;same_speaker;0.2579
0.3;H018_6313_cross_speaker.wav;cross_speaker;0.5607
0.3;H018_6313_cross_speaker_ruido.wav;cross_speaker_ruido;0.5603
0.3;H018_6313_same_speaker.wav;same_speaker;0.0
0.3;H019_5694_cross_speaker.wav;cross_speaker;0.201
0.3;H019_5694_cross_speaker_ruido.wav;cross_speaker_ruido;0.3023
0.3;H019_5694_same_speaker.wav;same_speaker;0.0
0.3;H020_1993_cross_speaker.wav;cross_speaker;0.4947
0.3;H020_1993_cross_speaker_ruido.wav;cross_speaker_ruido;0.4047
0.3;H020_1993_same_speaker.wav;same_speaker;0.0
0.3;H021_6295_cross_speaker.wav;cross_speaker;0.1622
0.3;H021_6295_cross_speaker_ruido.wav;cross_speaker_ruido;0.248
0.3;H021_6295_same_speaker.wav;same_speaker;0.1824
0.3;H022_2412_cross_speaker.wav;cross_speaker;0.0387
0.3;H022_2412_cross_speaker_ruido.wav;cross_speaker_ruido;0.6952
0.3;H022_2412_same_speaker.wav;same_speaker;0.2476
0.3;H023_422_cross_speaker.wav;cross_speaker;0.756
0.3;H023_422_cross_speaker_ruido.wav;cross_speaker_ruido;0.3152
0.3;H023_422_same_speaker.wav;same_speaker;0.0354
0.3;H024_2086_cross_speaker.wav;cross_speaker;0.3518
0.3;H024_2086_cross_speaker_ruido.wav;cross_speaker_ruido;0.5022
0.3;H024_2086_same_speaker.wav;same_speaker;0.6703
0.3;H025_7976_cross_speaker.wav;cross_speaker;0.5343
0.3;H025_7976_cross_speaker_ruido.wav;cross_speaker_ruido;0.2915
0.3;H025_7976_same_speaker.wav;same_speaker;0.2216
0.3;H026_3853_cross_speaker.wav;cross_speaker;0.1546
0.3;H026_3853_cross_speaker_ruido.wav;cross_speaker_ruido;0.4811
0.3;H026_3853_same_speaker.wav;same_speaker;0.515
0.3;H027_3536_cross_speaker.wav;cross_speaker;0.5577
0.3;H027_3536_cross_speaker_ruido.wav;cross_speaker_ruido;0.744
0.3;H027_3536_same_speaker.wav;same_speaker;0.0
0.3;H028_174_cross_speaker.wav;cross_speaker;0.6772
0.3;H028_174_cross_speaker_ruido.wav;cross_speaker_ruido;0.5643
0.3;H028_174_same_speaker.wav;same_speaker;0.3228
0.3;H029_1272_cross_speaker.wav;cross_speaker;0.1
0.3;H029_1272_cross_speaker_ruido.wav;cross_speaker_ruido;0.1458
0.3;H029_1272_same_speaker.wav;same_speaker;0.1586
0.3;H030_2902_cross_speaker.wav;cross_speaker;0.0085
0.3;H030_2902_cross_speaker_ruido.wav;cross_speaker_ruido;0.1525
0.3;H030_2902_same_speaker.wav;same_speaker;0.3532
